name,platform,year,genre,publisher,na,eu,jp,other,global_sales,label
Wii Sports,26,2006,11,368,41.49,29.02,3.77,8.46,82.74,1
Super Mario Bros.,12,1985,5,368,29.08,3.58,6.81,0.77,40.24,1
Mario Kart Wii,26,2008,7,368,15.85,12.88,3.79,3.31,35.82,1
Wii Sports Resort,26,2009,11,368,15.75,11.01,3.28,2.96,33,1
Pokemon Red/Pokemon Blue,6,1996,8,368,11.27,8.89,10.22,1,31.37,1
Tetris,6,1989,6,368,23.2,2.26,4.22,0.58,30.26,1
New Super Mario Bros.,5,2006,5,368,11.38,9.23,6.5,2.9,30.01,1
Wii Play,26,2006,4,368,14.03,9.2,2.93,2.85,29.02,1
New Super Mario Bros. Wii,26,2009,5,368,14.59,7.06,4.7,2.26,28.62,1
Duck Hunt,12,1984,9,368,26.93,0.63,0.28,0.47,28.31,1
Nintendogs,5,2005,10,368,9.07,11,1.93,2.75,24.76,1
Mario Kart DS,5,2005,7,368,9.81,7.57,4.13,1.92,23.42,1
Pokemon Gold/Pokemon Silver,6,1999,8,368,9,6.18,7.2,0.71,23.1,1
Wii Fit,26,2007,11,368,8.94,8.03,3.6,2.15,22.72,1
Wii Fit Plus,26,2009,11,368,9.09,8.59,2.53,1.79,22,1
Kinect Adventures!,29,2010,4,328,14.97,4.94,0.24,1.67,21.82,1
Grand Theft Auto V,18,2013,1,498,7.01,9.27,0.97,4.14,21.4,1
Grand Theft Auto: San Andreas,17,2004,1,498,9.43,0.4,0.41,10.57,20.81,1
Super Mario World,24,1990,5,368,12.78,3.75,3.54,0.55,20.61,1
Brain Age: Train Your Brain in Minutes a Day,5,2005,4,368,4.75,9.26,4.16,2.05,20.22,1
Pokemon Diamond/Pokemon Pearl,5,2006,8,368,6.42,4.52,6.04,1.37,18.36,1
Super Mario Land,6,1989,5,368,10.83,2.71,4.18,0.42,18.14,1
Super Mario Bros. 3,12,1988,5,368,9.54,3.44,3.84,0.46,17.28,1
Grand Theft Auto V,29,2013,1,498,9.63,5.31,0.06,1.38,16.38,1
Grand Theft Auto: Vice City,17,2002,1,498,8.41,5.49,0.47,1.78,16.15,1
Pokemon Ruby/Pokemon Sapphire,7,2002,8,368,6.06,3.9,5.38,0.5,15.85,1
Pokemon Black/Pokemon White,5,2010,8,368,5.57,3.28,5.65,0.82,15.32,1
Brain Age 2: More Training in Minutes a Day,5,2005,6,368,3.44,5.36,5.32,1.18,15.3,1
Gran Turismo 3: A-Spec,17,2001,7,464,6.85,5.09,1.87,1.16,14.98,1
Call of Duty: Modern Warfare 3,29,2011,9,17,9.03,4.28,0.13,1.32,14.76,1
Pok̩mon Yellow: Special Pikachu Edition,6,1998,8,368,5.89,5.04,3.12,0.59,14.64,1
