Rank,Name,Genre,Global_Sales,Tier_Sale
1,Wii Sports,11,82.74,1
2,Super Mario Bros.,5,40.24,1
3,Mario Kart Wii,7,35.82,1
4,Wii Sports Resort,11,33,1
5,Pokemon Red/Pokemon Blue,8,31.37,1
6,Tetris,6,30.26,1
7,New Super Mario Bros.,5,30.01,1
8,Wii Play,4,29.02,1
9,New Super Mario Bros. Wii,5,28.62,1
10,Duck Hunt,9,28.31,1
11,Nintendogs,10,24.76,1
12,Mario Kart DS,7,23.42,1
13,Pokemon Gold/Pokemon Silver,8,23.1,1
14,Wii Fit,11,22.72,1
15,Wii Fit Plus,11,22,1
16,Kinect Adventures!,4,21.82,1
17,Grand Theft Auto V,1,21.4,1
18,Grand Theft Auto: San Andreas,1,20.81,1
19,Super Mario World,5,20.61,1
20,Brain Age: Train Your Brain in Minutes a Day,4,20.22,1
21,Pokemon Diamond/Pokemon Pearl,8,18.36,1
22,Super Mario Land,5,18.14,1
23,Super Mario Bros. 3,5,17.28,1
24,Grand Theft Auto V,1,16.38,1
25,Grand Theft Auto: Vice City,1,16.15,1
26,Pokemon Ruby/Pokemon Sapphire,8,15.85,1
27,Pokemon Black/Pokemon White,8,15.32,1
28,Brain Age 2: More Training in Minutes a Day,6,15.3,1
29,Gran Turismo 3: A-Spec,7,14.98,1
30,Call of Duty: Modern Warfare 3,9,14.76,1
31,Pok̩mon Yellow: Special Pikachu Edition,8,14.64,1
32,Call of Duty: Black Ops,9,14.64,1
33,Pokemon X/Pokemon Y,8,14.35,1
34,Call of Duty: Black Ops 3,9,14.24,1
35,Call of Duty: Black Ops II,9,14.03,1
36,Call of Duty: Black Ops II,9,13.73,1
37,Call of Duty: Modern Warfare 2,9,13.51,1
38,Call of Duty: Modern Warfare 3,9,13.46,1
39,Grand Theft Auto III,1,13.1,1
40,Super Smash Bros. Brawl,3,13.04,1
41,Call of Duty: Black Ops,9,12.73,1
42,Animal Crossing: Wild World,10,12.27,1
43,Mario Kart 7,7,12.21,1
44,Halo 3,9,12.14,1
45,Grand Theft Auto V,1,11.98,1
46,Pokemon HeartGold/Pokemon SoulSilver,1,11.9,1
47,Super Mario 64,5,11.89,1
48,Gran Turismo 4,7,11.66,1
